player_name,runs,balls,wickets,boundaries,strike_rate,id_cricinfo
Y Anggraeni,82,84,0,11,97.62,1116781
N Tokizawa,48,184,6,1,26.09,1182765
T Wigradianti,9,13,0,1,69.23,1116784
K Nanno,10,55,1,0,18.18,1182763
NPAN Sakarini,551,618,0,48,89.16,1116776
Yuliana,5,9,0,0,55.56,1171446
P Haryanti,0,2,0,0,0.0,1116778
E Eduard,1,37,3,0,2.7,1140115
M Vuruna,19,32,0,1,59.38,1182798
I Waqavakatoga,118,146,0,13,80.82,1182792
S Lomani,43,65,0,4,66.15,1182791
M Vua,26,96,2,1,27.08,1182786
R Muriyalo,135,278,6,8,48.56,1182785
W Ofamoli,17,36,0,1,47.22,1182794
S Lote,2,8,0,0,25.0,1182796
L Samani,8,24,0,0,33.33,1182797
M Tilau,9,62,4,0,14.52,1182789
A Tagilala,33,68,0,2,48.53,1182793
L Vua,1,5,0,0,20.0,1182787
LS Mulivai,29,98,1,0,29.59,1182766
LO Telea,3,49,5,0,6.12,1034917
T Lafai,78,234,1,7,33.33,1034909
MI Tato,3,44,3,0,6.82,1093313
V Tari,3,14,0,0,21.43,1182782
T Iosefo,11,42,3,0,26.19,1034903
M Mete,2,21,1,0,9.52,1182779
RSM Lili'i,52,70,0,3,74.29,491144
LA Bourne,4,17,0,0,23.53,1034901
FLV Pula,29,55,0,3,52.73,1182767
L Vuadreu,9,30,4,0,30.0,1182790
A Kano,250,317,0,11,78.86,1182762
R Kanai,29,114,2,2,25.44,1182761
L Rika,10,26,0,0,38.46,1182788
K Taniguchi,3,18,0,0,16.67,1182764
A Kanada,46,74,3,2,62.16,1182760
AAIP Bastari,30,28,0,3,107.14,1181807
KML Nonu,15,16,0,1,93.75,1093312
EA Burns,33,68,1,6,48.53,275447
PWH de Silva,772,2229,127,86,34.63,784379
PBB Rajapaksa,755,556,0,91,135.79,342619
BOP Fernando,141,120,0,15,117.5,366725
SPD Smith,1155,1198,18,123,96.41,267192
GSNFG Jayasuriya,260,366,4,28,71.04,422965
Iftikhar Ahmed,1057,1105,10,112,95.66,480603
Mohammad Irfan,31,475,18,0,6.53,429981
SA Abbott,61,418,28,2,14.59,398666
Khushdil Shah,378,378,3,39,100.0,716733
Muhammad Musa,1,48,0,0,2.08,1072472
SK Chandhrasekar,64,113,0,3,56.64,1057354
Mahewish Khan,16,59,4,1,27.12,54991
EH Rendler,67,68,0,8,98.53,465604
A Perera,102,218,6,5,46.79,1184536
Saniyah Zia,84,257,10,3,32.68,465599
S Sriharsha,441,461,0,40,95.66,262364
Hiba Shamshad,2,71,2,0,2.82,1184540
KN Mirchandani,43,114,1,2,37.72,561537
Hala Azmat,9,91,4,0,9.89,561541
S Bhaskar,138,165,0,15,83.64,538601
NT Gruny,55,93,0,4,59.14,465612
OT Wallerson,46,178,6,1,25.84,472351
S Ramautar,24,132,3,1,18.18,538603
M Patel,18,43,0,2,41.86,307959
L Ramjit,153,292,7,12,52.4,1184546
C Beckford,5,68,5,0,7.35,538602
S Farooq,13,139,3,0,9.35,538597
M Khokhar,56,95,0,6,58.95,1184544
U Iftikhar,29,230,10,1,12.61,940175
C Martin,25,25,0,2,100.0,1184538
Kainat Qazi,34,56,0,3,60.71,1184541
Maliha Baig,0,2,0,0,0.0,1184542
C Atkins,1,2,0,0,50.0,55188
G Kodali,102,357,10,3,28.57,1184545
F Baleri,77,94,0,6,81.91,585464
Z Groenewald,31,209,8,0,14.83,446860
R Bakum,551,687,17,56,80.2,1107671
S Ateak,45,48,0,7,93.75,308504
JJ Smit,1034,1424,50,112,72.61,553821
C Viljoen,85,306,21,8,27.78,387845
JN Frylinck,850,1670,59,67,50.9,482478
SL Perera,12,24,0,0,50.0,281891
BM Scholtz,109,1413,73,6,7.71,330223
